Make,Model,Version,Price,Make_Year,CC,Assembly,Mileage,Registered City,Transmission
Mitsubishi,Minica,Black Minica,1065000.0,2019,660,Imported,68000,Lahore,Automatic
Audi,A6,1.8 TFSI Business Class Edition,9300000.0,2015,1800,Local,70000,Lahore,Automatic
Toyota,Aqua,G,2375000.0,2014,1500,Imported,99900,Islamabad,Automatic
Honda,City,1.3 i-VTEC,2600000.0,2017,1300,Local,55000,Islamabad,Manual
Toyota,Corolla,GLi Automatic 1.3 VVTi,2500000.0,2017,1300,Local,80000,Lahore,Automatic
Suzuki,Cultus,EURO II,1130000.0,2012,1000,Local,51000,Lahore,Manual
Toyota,Passo,X L Package,1760000.0000000002,2014,1000,Imported,82000,Islamabad,Automatic
Toyota,Prius,S 1.8,2500000.0,2011,1800,Imported,121400,Karachi,Automatic
Toyota,Vitz,F 1.0,1950000.0,2017,1000,Imported,130000,Lahore,Automatic
Honda,City,1.3 i-VTEC,2440000.0,2017,1300,Local,17000,Islamabad,Manual
Toyota,Belta,G 1.3,1400000.0,2006,1300,Imported,150,Lahore,Automatic
Honda,Civic,VTi Automatic 1.6,1100000.0,2001,1600,Local,155000,Lahore,Automatic
Toyota,Hilux,D-4D Automatic,3500000.0,2011,3000,Imported,200000,Karachi,Automatic
Toyota,Corolla,GLi 1.3 VVTi,1350000.0,2008,1300,Local,149200,Lahore,Manual
Suzuki,Cultus,VXL,1700000.0,2017,1000,Local,45000,Karachi,Manual
Toyota,Premio,X EX Package 1.8,1750000.0,2005,1800,Imported,149000,Islamabad,Automatic
Honda,Civic,VTi Oriel Prosmatec 1.8 i-VTEC,1630000.0,2007,1800,Local,105000,Lahore,Automatic
Toyota,Corolla,XLi,1160000.0,2005,1300,Local,297532,Lahore,Manual
Toyota,Passo,G 1.0,1050000.0,2006,1000,Imported,80000,Karachi,Automatic
Suzuki,Bolan,Cargo Van Euro ll,780000.0,2015,800,Imported,50000,Lahore,Manual
Toyota,Prius,S 1.8,2500000.0,2011,1800,Imported,70700,Karachi,Automatic
MG,HS,1.5 Turbo,5485000.0,2021,1500,Local,5,Un-Registered,Automatic
KIA,Sportage,FWD,5250000.0,2021,2000,Local,5,Un-Registered,Automatic
Honda,Civic,EXi Prosmatec,1200000.0,2005,1500,Local,118000,Karachi,Automatic
Toyota,Corolla,Altis Automatic 1.6,1875000.0,2019,1600,Local,55000,Lahore,Automatic
Honda,Vezel,X,1675000.0,2014,1500,Imported,45000,Lahore,Automatic
